# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -16215 8 53 71 12583006 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16215 9 53 71 13894703 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16215 9 53 71 13897803 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_FIRST_OCCURRENCE 399 1 53 71 13766158 5 /openedx/staticfiles/flags/__.3e5d99b5dd7b.gif
DUPTYPE_WITHIN_SAME_TREE -399 1 53 71 13764976 5 /openedx/staticfiles/flags/__.gif
DUPTYPE_FIRST_OCCURRENCE 9797 5 54 71 12588679 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.d88b9159a635.js
DUPTYPE_WITHIN_SAME_TREE -9797 5 54 71 12586857 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.js
DUPTYPE_FIRST_OCCURRENCE 5201 3 57 71 12589914 5 /openedx/staticfiles/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5201 3 57 71 12586611 5 /openedx/staticfiles/paragon/src/Icon/Icon.scss
DUPTYPE_WITHIN_SAME_TREE -5201 6 57 71 12588147 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5201 6 57 71 12588278 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5201 6 57 71 12585721 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Icon/Icon.scss
DUPTYPE_WITHIN_SAME_TREE -5201 6 57 71 12586287 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.scss
DUPTYPE_FIRST_OCCURRENCE 11485 5 57 71 12588489 5 /openedx/staticfiles/templates/instructor/edx_ace/accountcreationandenrollment/email/head.9908db1e6349.html
